iter	RMSE
0	0.8728635143
1	0.8583745592
2	0.7994771329
3	0.7687512997
4	0.730359648
5	0.7173214384
6	0.66880359
7	0.6630223137
8	0.6300437085
9	0.602409383
10	0.5860496743
11	0.564202955
12	0.5444887711
13	0.5297916991
14	0.5183132293
15	0.4985347317
16	0.4833526297
17	0.4740738453
18	0.4693033988
19	0.4602034027
20	0.4500661612
21	0.4471705228
22	0.4375582411
23	0.4298278209
24	0.4151043757
25	0.3999527422
26	0.3837524391
27	0.3793419663
28	0.3699435842
29	0.3673410617
30	0.358416821
31	0.3511503017
32	0.348858155
33	0.3428702228
34	0.3351646613
35	0.3237561897
36	0.3145274997
37	0.3065328947
38	0.2988949112
39	0.2935372969
40	0.2870007878
41	0.2851649877
42	0.279431423
43	0.272257004
44	0.2680252862
45	0.2651001657
46	0.2606213821
47	0.2536185402
48	0.2481106312
49	0.2455868887
50	0.2380758418
51	0.2361616928
52	0.2342825215
53	0.2331840956
54	0.2288956156
55	0.225317999
56	0.2239240552
57	0.2234447681
58	0.22069833
59	0.2154345133
60	0.2149527961
61	0.2128460122
62	0.2079422576
63	0.2070078192
64	0.2063441211
65	0.2032694321
66	0.2027271056
67	0.2007840667
68	0.1989117125
69	0.1966391365
70	0.18985281
71	0.1881992525
72	0.1848034127
73	0.1819072963
74	0.1803613096
75	0.179034388
76	0.17847457
77	0.176900213
78	0.1695106752
79	0.1685014877
80	0.167331257
81	0.1658132778
82	0.1641761853
83	0.1588053652
84	0.1562204211
85	0.1551259102
86	0.1536589223
87	0.1525221561
88	0.1481115719
89	0.1449562294
90	0.14330332
91	0.1406590198
92	0.1385008903
93	0.13625115
94	0.1349626094
95	0.1342062849
96	0.1324284224
97	0.1309632409
98	0.1295969797
99	0.128552418
100	0.1251500245
101	0.1241071594
102	0.1232001129
103	0.1220548492
104	0.1204393188
105	0.1192695459
106	0.1179753802
107	0.1170163098
108	0.1159546066
109	0.1152411207
110	0.1142755184
111	0.1133447313
112	0.1125637854
113	0.1120000364
114	0.1111817766
115	0.1109311606
116	0.1105858868
117	0.1098460507
118	0.1079832522
119	0.1075700396
120	0.1065008169
121	0.1061550516
122	0.1052335352
123	0.1030419061
124	0.1029716801
125	0.1025569436
126	0.1020320891
127	0.1018992581
128	0.1011950945
129	0.1005194687
130	0.1000532035
131	0.09964464623
132	0.09918985131
133	0.09864559883
134	0.09821839909
135	0.09788845247
136	0.09758648154
137	0.09739529275
138	0.09712235789
139	0.09681460543
140	0.09645410753
141	0.0955847274
142	0.09448110724
143	0.09433121426
144	0.0934789409
145	0.0931058509
146	0.09274708779
147	0.09237392155
148	0.09199424
149	0.09175967291
150	0.0914506732
151	0.09128837597
152	0.09113070418
153	0.09068677944
154	0.09045560024
155	0.09032968572
156	0.09030893408
157	0.09017926859
158	0.090014818
159	0.08986760316
160	0.08959066529
161	0.08912950828
162	0.08886861327
163	0.08880224018
164	0.08860829587
165	0.08846280074
166	0.08826222445
167	0.08805468969
168	0.08790261624
169	0.08753480126
170	0.08749720148
171	0.08734981528
172	0.08728865356
173	0.08724505505
174	0.08717327611
175	0.08705071391
176	0.08678266708
177	0.08653935749
178	0.08642240396
179	0.0863340455
180	0.08617211624
181	0.08603482203
182	0.08584947817
183	0.08578228158
184	0.08574422922
185	0.08572440381
186	0.08560943379
187	0.08533415379
188	0.08523244992
189	0.08521563646
190	0.08504764522
191	0.08491398139
192	0.08484720849
193	0.0847736143
194	0.08464160176
195	0.08441770638
196	0.08428166083
197	0.08421047725
198	0.08419183557
199	0.08400986789
200	0.0839866524
201	0.08395684862
202	0.08395103475
203	0.08376705153
204	0.08369995369
205	0.08359336323
206	0.08352217971
207	0.08342926085
208	0.08334168173
209	0.08331824445
210	0.08323963271
211	0.0832290088
212	0.08322672997
213	0.08317845293
214	0.0831473195
215	0.08312739055
216	0.08312116706
217	0.08311447189
218	0.08307851426
219	0.08302372233
220	0.08299205767
221	0.08291891377
222	0.08280356362
223	0.08278299653
224	0.08272234547
225	0.08269684196
226	0.08267657672
227	0.08261979215
228	0.08255261356
229	0.08252140504
230	0.0825039705
231	0.08250086462
232	0.08249406085
233	0.08246195064
234	0.0824534646
235	0.08244809168
236	0.0824224248
237	0.08242014148
238	0.08236357155
239	0.08232580063
240	0.0823224486
241	0.0822856144
242	0.08227339832
243	0.08227189898
244	0.08225521326
245	0.08221098527
246	0.08219968077
247	0.08216281705
248	0.08215106814
249	0.08214502373
250	0.08214131985
251	0.082140549
252	0.08213912283
253	0.08213845356
254	0.08211165117
255	0.08209053302
256	0.08206777242
257	0.08206738765
258	0.08205798796
259	0.08203474019
260	0.08202694583
261	0.08202418899
262	0.08201020629
263	0.08200058061
264	0.08199209207
265	0.08195113899
266	0.0819509216
267	0.081946497
268	0.08193976161
269	0.08192567828
270	0.08189601859
271	0.08189275835
272	0.08188808254
273	0.08185928182
274	0.08185772643
275	0.08185650925
276	0.0818482721
277	0.08183638157
278	0.08182938957
279	0.08182004501
280	0.08181899152
281	0.08180059021
282	0.08179309681
283	0.08177266544
284	0.08176649639
285	0.08175127675
286	0.08173567798
287	0.08172136621
288	0.08171483768
289	0.08171423712
290	0.08171356279
291	0.08171102129
292	0.08169759839
293	0.0816961192
294	0.08168416143
295	0.08168021284
296	0.08167482379
297	0.08167313956
298	0.08167234934
299	0.08165094112
300	0.08165068358
301	0.08163647253
302	0.08163490763
303	0.08163250282
304	0.08161579379
305	0.08161538325
306	0.08161500374
307	0.08160275641
308	0.08160004086
309	0.08159252196
310	0.0815868746
311	0.08158446446
312	0.08158379668
313	0.08158092366
314	0.08157475867
315	0.08156708726
316	0.08156588609
317	0.08156317075
318	0.08154209207
319	0.08154187619
320	0.08152911454
321	0.08152539729
322	0.08152257152
323	0.08152080702
324	0.08151780858
325	0.08151677188
326	0.08151300062
327	0.08149690491
328	0.0814922321
329	0.0814865644
330	0.08148604686
331	0.08148161079
332	0.08148126233
333	0.0814753681
334	0.08147441515
335	0.08147438746
336	0.08147114175
337	0.08147034865
338	0.08146289198
339	0.08145857028
340	0.08145238467
341	0.08145110514
342	0.08144453645
343	0.08144395955
344	0.08144374862
345	0.08144113162
346	0.081435259
347	0.08143334301
348	0.0814304232
349	0.08142855498
350	0.08142191203
351	0.08141320683
352	0.08140894025
353	0.08140673412
354	0.08140368928
355	0.08140237764
356	0.08140081484
357	0.08139943178
358	0.08139735463
359	0.08139528283
360	0.08139513011
361	0.08139395035
362	0.08138960961
363	0.08138918759
364	0.08138844035
365	0.08138816231
366	0.08138605343
367	0.08138581462
368	0.08138151868
369	0.08137964412
370	0.08137921133
371	0.08137753606
372	0.08137287935
373	0.08137108291
374	0.08137053999
375	0.08137043503
376	0.08136966433
377	0.08136863767
378	0.08136771617
379	0.08136693773
380	0.08136596143
381	0.08136397126
382	0.08135852315
383	0.08135780638
384	0.08135625038
385	0.08135253723
386	0.08135222071
387	0.08135217111
388	0.08135075552
389	0.0813496284
390	0.08134334692
391	0.08134264374
392	0.08134123325
393	0.08134113541
394	0.08133566466
395	0.08132939611
396	0.08132780262
397	0.08132720624
398	0.08132676533
399	0.08132652502
400	0.08132608065
401	0.08132343242
402	0.08132140027
403	0.08132076367
404	0.08131519345
405	0.08131471489
406	0.08131131536
407	0.08130870487
408	0.08130723295
409	0.08130689329
