EQE enhanced ratio
2.7368
1.6098
1.1568
1.1811
1.9079
2.6091
3.3267
1.2891
1.5263
2.3049
1.9136
4.8333
2.375
1.061
1.4719
1.1657
3.4507
2.8547
1.0303
1.1353
2.1496
1.2781
1.1602
1.9565
1.3046
1.8551
2.4286
1.5789
3.4839
2.1591
3.5313
1.168
3.6923
1.1579
1.1509
1.4462
1.2563
2.3863
2.3571
1.1955
1.8442
3.4393
3.7163
2.0892
1.1651
2.2272
1.7685
3.2813
1.4167
2.3793
3.2283
3.0687
1.3438
1.4436
1.436
1.4867
1.6736
1.4762
1.0917
1.1903
1.1878
2.3158
4.5938
4.7895
2.5915
1.0226
1.5771
2.6318
1.7912
2.0122
1.6667
1.4063
1.8173
2.6201
1.4115
0.5263
1.3542
1.2013
1.4348
3.6875
4.6929
1.071
1.8583
1.5782
1.6266
2.1966
1.2656
1.1788
2.3158
1.1
1.3395
1.1857
4.7869
1.0314
1.0939
1.1376
1.9167
1.8617
2.7927
1.5316
1.4413
3.1883
2.256
1.2963
4.4607
1.1987
2.0968
1.5833
1.245
1.6711
