"CID","IUPACName","MolecularFormula","IsomericSMILES"
1015,"2-aminoethyl dihydrogen phosphate","C2H8NO4P","C(COP(=O)(O)O)N"
14017,"aminomethylphosphonic acid","CH6NO3P","C(N)P(=O)(O)O"
255,"bis(4-nitrophenyl) hydrogen phosphate","C12H9N2O8P","C1=CC(=CC=C1[N+](=O)[O-])OP(=O)(O)OC2=CC=C(C=C2)[N+](=O)[O-]"
12793,"phenyl dihydrogen phosphate","C6H7O4P","C1=CC=C(C=C1)OP(=O)(O)O"
6327654,"diethoxy(oxo)phosphanium","C4H10O3P+","CCO[P+](=O)OCC"
74188,"propyl dihydrogen phosphate","C3H9O4P","CCCOP(=O)(O)O"
6327349,"dibutoxy(oxo)phosphanium","C8H18O3P+","CCCCO[P+](=O)OCCCC"
78452,"octylphosphonic acid","C8H19O3P","CCCCCCCCP(=O)(O)O"
7369,"benzenesulfonyl chloride","C6H5ClO2S","C1=CC=C(C=C1)S(=O)(=O)Cl"
985,"hexadecanoic acid","C16H32O2","CCCCCCCCCCCCCCCC(=O)O"
12669616,"4-fluorobenzenesulfinyl chloride","C6H4ClFOS","C1=CC(=CC=C1F)S(=O)Cl"
4190003,"benzenesulfinyl chloride","C6H5ClOS","C1=CC=C(C=C1)S(=O)Cl"
