A_site,Conc(mg/ml),H_Acceptors,H_Donors,Rot_bonds,Mol_Wt,TPSA,AvgIpc,Hydrogen,Oxide,Nitrogen,Halide
1.0,3.0,1,0,0,325.98699999999985,13.14,2.8688215497649567,6,1,0,2
1.0,5.0,5,1,2,206.2380000000001,57.150000000000006,2.4917233469479947,18,5,0,0
1.0,3.0,4,4,0,200.3300000000002,48.12,2.7431846992919056,24,0,4,0
1.0,5.0,2,0,4,384.2399999999997,26.3,2.8376747334529906,10,2,0,5
1.0,1.0,1,1,3,202.09500000000008,26.02,2.4432806639087143,12,0,1,1
1.0,3.0,9,4,11,309.2709999999996,172.26,2.739514686537386,19,9,1,0
0.0,6.364,5,0,2,254.5660000000001,76.15,2.4945118600583,8,5,2,1
1.0,1.6,0,0,26,462.644999999999,0.0,3.1948160697033448,56,0,1,1
0.0,16.421,2,0,4,252.63700000000009,18.46,2.617942522990911,10,2,0,1
1.0,0.05,0,0,0,64.034,0.0,1.3609640474436813,2,0,0,2
1.0,2.0,4,0,5,288.2909999999997,66.01,2.733054010775666,15,3,2,3
0.0,12.0,1,0,3,278.29099999999966,17.07,2.810657880560645,15,1,0,0
1.0,5.0,9,0,20,428.4779999999996,106.59,2.991210539295045,32,9,0,0
1.0,4.599901785714286,4,4,4,96.11399999999998,80.92,1.946039781962856,4,4,0,0
0.0,17.969,3,2,4,172.12000000000006,57.53,2.4123057604450024,9,3,0,0
1.0,0.649,3,3,1,108.12199999999996,87.17,1.8814083105156787,4,2,2,0
0.0,2.041,6,0,20,680.3510000000015,71.06000000000002,3.5171734763461333,38,6,0,2
1.0,1.0,1,0,3,278.29099999999966,17.07,2.810657880560645,15,1,0,0
1.0,2.01,2,1,1,201.01900000000003,37.3,2.2319351642651286,5,2,0,1
1.0,4.0,1,0,1,111.14399999999992,20.31,2.2306987395367903,9,1,1,0
0.0,0.904,1,0,5,226.02600000000012,8.809999999999999,2.645318335476332,15,0,2,4
0.0,11.9,0,0,0,119.002,0.0,0.0,0,0,0,1
1.0,3.474,1,3,0,139.98400000000004,75.89,1.9140300962781631,6,0,3,1
1.0,5.0,3,2,5,117.14799999999994,63.31999999999999,2.237412835715699,11,2,1,0
1.0,0.5,2,0,3,100.11699999999996,26.3,1.7415279797750616,8,2,0,0
1.0,3.0,6,0,6,654.7770000000012,53.46,2.948934869909117,30,0,6,0
1.0,3.2,0,2,0,124.96899999999998,51.61,1.6403360647604437,5,0,2,1
1.0,1.0,0,0,0,64.034,0.0,1.3609640474436813,2,0,0,2
0.0,6.0,4,0,3,305.3149999999996,54.48,2.663595881430782,24,4,3,0
1.0,0.402,2,1,1,201.01900000000003,37.3,2.2319351642651286,5,2,0,1
1.0,5.0,0,0,0,64.034,0.0,1.3609640474436813,2,0,0,2
1.0,1.0,4,0,5,288.2909999999997,66.01,2.733054010775666,15,3,2,3
